  (おはよう|おはよー|おはよ):感動詞	おはよう！　さっさと窓開けて、ぱーっとさわやかな空気をたっぷり入れて。 ↵

  むくり:感動詞	おはよう！　さっさと窓開けて、ぱーっとさわやかな空気をたっぷり入れて。 ↵

  ただいま:一般名詞 EOS:EOS	おかえり！　手洗った？　うがいした？　風邪引きがじゃんじゃん増えてるらしいよ。 ↵

  ただいま:一般名詞 ー:助詞 EOS:EOS	おかえり！　手洗った？　うがいした？　風邪引きがじゃんじゃん増えてるらしいよ。 ↵

  ただいま:一般名詞 (.+):(句点|記号|顔文字|ニュアンス) EOS:EOS	おかえり！　手洗った？　うがいした？　風邪引きがじゃんじゃん増えてるらしいよ。 ↵

  ただいま:一般名詞 ー:助詞 (.+):(句点|記号|顔文字|ニュアンス) EOS:EOS	おかえり！　手洗った？　うがいした？　風邪引きがじゃんじゃん増えてるらしいよ。 ↵

  帰宅:名詞サ変	おかえり！　手洗った？　うがいした？　風邪引きがじゃんじゃん増えてるらしいよ。 ↵

  帰:ラ行五段 っ:活用語尾：連用 た:助動詞	おかえり！　手洗った？　うがいした？　風邪引きがじゃんじゃん増えてるらしいよ。 ↵

  帰:ラ行五段 り:活用語尾：連用 まし:助動詞 た:助動詞	おかえり！　手洗った？　うがいした？　風邪引きがじゃんじゃん増えてるらしいよ。 ↵

  おやすみなさい:感動詞	おやすみ！　しっかりお布団に入ってぽっかぽかにして寝てね。 ↵

  お:接頭語 やす:マ行五段 み:活用語尾:連用 EOS:EOS	おやすみ！　しっかりお布団に入ってぽっかぽかにして寝てね。 ↵

  お:接頭語 やす:マ行五段 み:活用語尾:連用 ー:助詞 EOS:EOS	おやすみ！　しっかりお布団に入ってぽっかぽかにして寝てね。 ↵

  お:接頭語 やす:マ行五段 み:活用語尾:連用 (.+):(句点|記号|顔文字|ニュアンス) EOS:EOS	おやすみ！　しっかりお布団に入ってぽっかぽかにして寝てね。 ↵

  お:接頭語 やす:マ行五段 み:活用語尾:連用 ー:助詞 (.+):(句点|記号|顔文字|ニュアンス) EOS:EOS	おやすみ！　しっかりお布団に入ってぽっかぽかにして寝てね。 ↵

  寝:下一段動詞 る:活用語尾：終止	おやすみ！　しっかりお布団に入ってぽっかぽかにして寝てね。 ↵

  寝:下一段動詞 ます:助動詞	おやすみ！　しっかりお布団に入ってぽっかぽかにして寝てね。 ↵

  (眠|ねむ):形容詞 (い|ーい):活用語尾:終止	おやすみ！　しっかりお布団に入ってぽっかぽかにして寝てね。 ↵

  離脱:名詞サ変	あら。出かけるの？　どこ行くの？ ↵

  (おなか|お腹|腹):一般名詞 (す|空):カ行五段 い:活用語尾：連用 た:助動詞	ご飯足りなかった？　ぱっと作りに行ってあげる！ ↵

  (おなか|お腹|腹):一般名詞 (へ|減):ラ行五段 っ:活用語尾：連用 た:助動詞	ご飯足りなかった？　ぱっと作りに行ってあげる！ ↵

  (おなか|お腹|腹):一般名詞 (.+):助詞 (す|空):カ行五段 い:活用語尾：連用 た:助動詞	ご飯足りなかった？　ぱっと作りに行ってあげる！ ↵

  (おなか|お腹|腹):一般名詞  (.+):助詞(へ|減):ラ行五段 っ:活用語尾：連用 た:助動詞	ご飯足りなかった？　ぱっと作りに行ってあげる！ ↵

  ほかいま:感動詞	ほかえり！　ほかほかだね！ ↵

  (つか|疲れ):下一段動詞 た:助動詞	くったくた？　とんとん！　とんとん！　肩たたきしてあげる！ ↵
